 	ulcerative colitis	none	Icolonic Crohn's disease	SecondCp	ileal Crohn's disease	Crohn's disease	healthy	preCp	ileal Crohn's disease with ulcerative colitis	ulcerative colitis-PROC	FirstCp	ileal and colonic Crohn's disease with ulcerative colitis	Interim	ulcerative colitis-LS	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	polyps
ulcerative colitis	(0.635364309672,0.17653794122,0.467786760615,1.0)	(0.521676785347,0.120791384286,0.405636084629,0.741620738926)	(0.49647779333,0.110186694108,0.405636084629,0.679939987752)	(0.425489620445,0.039133660235,0.396869748955,0.531810146306)	(0.0526530034613,0.0977294999984,0.00828836769143,0.335514145828)	(0.0538460756528,0.100799725273,0.00828836769143,0.351232839129)	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(3.92563047164e-05,0.000609066127651,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.35465663217e-07,4.28165796916e-06,0.0,0.0)	(1.86802418305e-05,0.000341398895491,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(3.64237240903e-05,0.000470217186873,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.98847236232e-05,0.000422822973233,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)
none	(0.521676785347,0.120791384286,0.405636084629,0.741620738926)	(0.851424869565,0.152795141527,0.694289855072,1.0)	(0.717620773578,0.0933647187729,0.67362129488,1.0)	(0.460150665885,0.0510548754263,0.421187836354,0.591896960659)	(0.054521924498,0.0997339984585,0.00828836769143,0.335412688469)	(0.0520301166055,0.099322903557,0.00828836769143,0.336210552152)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(2.24089635854e-05,0.000353607480965,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(3.75372269413e-05,0.00063684489917,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.69611640555e-05,0.000388705981284,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(2.71150633529e-05,0.000545549033985,0.0,0.0)	(1.68067226891e-05,0.000306386754373,0.0,0.0)	(2.81656458482e-05,0.000461905751737,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.81656458482e-05,0.000461905751737,0.0,0.0)
Icolonic Crohn's disease	(0.49647779333,0.110186694108,0.405636084629,0.679939987752)	(0.717620773578,0.0933647187729,0.67362129488,1.0)	(1.0,0.0,1.0,1.0)	(0.498181797213,0.0623334707954,0.437388841379,0.635707938153)	(0.0567543959968,0.106228642201,0.00828836769143,0.374649440706)	(0.0614703320331,0.112407578537,0.00828836769143,0.374658962065)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.30780009341e-05,0.000292140411632,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(2.24089635854e-05,0.000353607480965,0.0,0.0)	(1.31913954611e-05,0.000292157319986,0.0,0.0)	(2.25634049518e-05,0.000426914531012,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.25223581124e-05,0.000353618458154,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
SecondCp	(0.425489620445,0.039133660235,0.396869748955,0.531810146306)	(0.460150665885,0.0510548754263,0.421187836354,0.591896960659)	(0.498181797213,0.0623334707954,0.437388841379,0.635707938153)	(0.569325024814,0.038063429701,0.536197709451,0.682982910522)	(0.0568341188487,0.113266161643,0.00828836769143,0.410999493257)	(0.0648709759138,0.121651559566,0.00828836769143,0.410999493257)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.73833276439e-05,0.000509167622893,0.0,0.0)	(2.25634049518e-05,0.000426914531012,0.0,0.0)	(3.84333680702e-05,0.000513877305771,0.0,0.0)	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(3.09982264743e-05,0.000602711416727,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.24089635854e-05,0.000353607480965,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(2.15128224566e-05,0.000516247102221,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)
ileal Crohn's disease	(0.0526530034613,0.0977294999984,0.00828836769143,0.335514145828)	(0.054521924498,0.0997339984585,0.00828836769143,0.335412688469)	(0.0567543959968,0.106228642201,0.00828836769143,0.374649440706)	(0.0568341188487,0.113266161643,0.00828836769143,0.410999493257)	(0.0590604102021,0.116310227768,0.0126312083262,0.467743965369)	(0.0653540118246,0.121400380244,0.0126312083262,0.467743965369)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(3.00391649896e-05,0.00048579288154,0.0,0.0)	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(3.45908233907e-05,0.000592700937434,0.0,0.0)	(1.68067226891e-05,0.000306386754373,0.0,0.0)	(3.36134453782e-05,0.000432643912074,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(6.69366546211e-06,0.000206730847267,0.0,0.0)	(1.87936363575e-05,0.000341411503656,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)
Crohn's disease	(0.0538460756528,0.100799725273,0.00828836769143,0.351232839129)	(0.0520301166055,0.099322903557,0.00828836769143,0.336210552152)	(0.0614703320331,0.112407578537,0.00828836769143,0.374658962065)	(0.0648709759138,0.121651559566,0.00828836769143,0.410999493257)	(0.0653540118246,0.121400380244,0.0126312083262,0.467743965369)	(0.960067517575,0.0199834061013,0.940552631318,1.0)	(3.09982264743e-05,0.000602711416727,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(3.20488089695e-05,0.00052819131732,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(3.21661495474e-05,0.00052819721836,0.0,0.0)	(4.80732134543e-05,0.000646303919933,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.16266453811e-05,0.000413429544414,0.0,0.0)	(2.53959855779e-05,0.000576360896273,0.0,0.0)	(3.68048109539e-05,0.000719456821345,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
healthy	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(3.09982264743e-05,0.000602711416727,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.16266453811e-05,0.000413429544414,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.16266453811e-05,0.000413429544414,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(2.16266453811e-05,0.000413429544414,0.0,0.0)	(3.20488089695e-05,0.00052819131732,0.0,0.0)	(4.14203900627e-05,0.000686387490451,0.0,0.0)	(0.0,0.0,0.0,0.0)	(3.20488089695e-05,0.00052819131732,0.0,0.0)	(0.0,0.0,0.0,0.0)
preCp	(3.92563047164e-05,0.000609066127651,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(1.30780009341e-05,0.000292140411632,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(3.00391649896e-05,0.00048579288154,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.485426968079,0.0225248150292,0.46343544591,0.532427737382)	(0.486003382137,0.023955885913,0.46343544591,0.544268739093)	(0.482850532405,0.0199778756445,0.46343544591,0.525310986652)	(0.41047159987,0.0319422582152,0.379893937832,0.481557162511)	(0.40873407176,0.0307045136919,0.379893937832,0.466805684888)	(0.386752854764,0.0153740581846,0.37329386783,0.425982114614)	(0.386798465547,0.0151100431629,0.37329386783,0.423499303194)	(0.247830244065,0.101812774407,0.165285473686,0.397164676575)	(0.223295325861,0.0848978565744,0.157525949551,0.375223466232)	(0.220376968588,0.081749404777,0.157525949551,0.375223466232)	(0.197144644326,0.0517617317805,0.157525949551,0.307857325429)	(0.203478335541,0.0549385751478,0.157525949551,0.307857325429)	(0.158963534341,0.0622683883593,0.0975323149236,0.295119413906)
ileal Crohn's disease with ulcerative colitis	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.72288862775e-05,0.000449483471107,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.16266453811e-05,0.000413429544414,0.0,0.0)	(0.486003382137,0.023955885913,0.46343544591,0.544268739093)	(1.0,0.0,1.0,1.0)	(0.641777991665,0.0945575224793,0.549300162233,0.852803577871)	(0.4466020789,0.0332614871251,0.414824499126,0.509891275069)	(0.44688465467,0.0352422273693,0.414824499126,0.53366932844)	(0.406386897021,0.0144650496088,0.395419531593,0.450816730826)	(0.405700117201,0.0126519205642,0.395419531593,0.441137071005)	(0.251895170902,0.105487493345,0.165285473686,0.409585148117)	(0.220598010093,0.0816894694199,0.157525949551,0.377115890801)	(0.219386613013,0.0814537574769,0.157525949551,0.381823536233)	(0.1993104312,0.0537098114772,0.157525949551,0.307914696507)	(0.197779269068,0.0536253523275,0.157525949551,0.31413995545)	(0.162150088473,0.0622119535799,0.0975323149236,0.295190393412)
ulcerative colitis-PROC	(1.35465663217e-07,4.28165796916e-06,0.0,0.0)	(2.24089635854e-05,0.000353607480965,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(2.73833276439e-05,0.000509167622893,0.0,0.0)	(3.45908233907e-05,0.000592700937434,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(0.482850532405,0.0199778756445,0.46343544591,0.525310986652)	(0.641777991665,0.0945575224793,0.549300162233,0.852803577871)	(0.684743522407,0.132799356038,0.549300162233,0.94127645228)	(0.446853397708,0.0332950567997,0.414824499126,0.510358686164)	(0.446335676086,0.0323114273882,0.414824499126,0.509883473019)	(0.406628525149,0.0144957431219,0.395419531593,0.4478727205)	(0.404961613933,0.0117024994796,0.395419531593,0.437834245657)	(0.248492068094,0.104532515768,0.165285473686,0.405951708825)	(0.223877538514,0.0851472445354,0.157525949551,0.382805082439)	(0.222334009815,0.082697604291,0.157525949551,0.381823536233)	(0.201227939951,0.0537496977001,0.157525949551,0.314147891449)	(0.200161447068,0.0531522802647,0.157525949551,0.307857325429)	(0.160134069017,0.0624880522855,0.0975323149236,0.300097801295)
