 	ulcerative colitis	none	Icolonic Crohn's disease	SecondCp	ileal Crohn's disease	Crohn's disease	healthy	preCp	polyps	ulcerative colitis-PROC	FirstCp	ileal and colonic Crohn's disease with ulcerative colitis	Interim	ulcerative colitis-LS	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	ileal Crohn's disease with ulcerative colitis
ulcerative colitis	(1.25795218491,0.342917711859,0.932226910285,2.0)	(1.00388900946,0.216834842461,0.807925558313,1.43064590825)	(0.966772728252,0.192342143059,0.801346610945,1.29040694789)	(0.852919316214,0.0810672799325,0.792580275271,1.06566627326)	(0.100783288344,0.193989415472,0.0144833698201,0.666181917116)	(0.110251401815,0.208258770279,0.0144833698201,0.741206936357)	(2.50120546965e-05,0.000397159005459,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.13382699691e-05,0.000250318894676,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.25106587171e-05,0.000504228597548,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(1.76907360251e-05,0.000420955882958,0.0,0.0)
none	(1.00388900946,0.216834842461,0.807925558313,1.43064590825)	(1.655272,0.350288487797,1.29933333333,2.0)	(1.37127253266,0.25771689618,1.20395004005,2.0)	(0.916413183843,0.0970724955875,0.840958168567,1.14541142643)	(0.112981273683,0.209938257472,0.0144833698201,0.697484799568)	(0.103916378869,0.197075254051,0.0144833698201,0.697484799568)	(0.0,0.0,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(1.32190884624e-05,0.000298708429082,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(7.38196696366e-06,0.000229761855298,0.0,0.0)	(0.0,0.0,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.38531305103e-05,0.000315072012811,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
Icolonic Crohn's disease	(0.966772728252,0.192342143059,0.801346610945,1.29040694789)	(1.37127253266,0.25771689618,1.20395004005,2.0)	(1.0,0.0,1.0,1.0)	(0.99025244913,0.122981177979,0.873360178617,1.26219294883)	(0.104348055596,0.208526323019,0.0144833698201,0.698582386268)	(0.12291727376,0.230393023096,0.0144833698201,0.773608946407)	(2.33385345279e-05,0.000439270313155,0.0,0.0)	(1.41558480331e-05,0.000323030819082,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.33788176429e-07,4.22863770924e-06,0.0,0.0)	(7.616847566e-06,0.000240745405931,0.0,0.0)	(3.06142955928e-05,0.000434521284247,0.0,0.0)	(1.78950796083e-05,0.000565609087899,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(8.92378288205e-06,0.000282053659833,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.20884951287e-05,0.000382080597208,0.0,0.0)
SecondCp	(0.852919316214,0.0810672799325,0.792580275271,1.06566627326)	(0.916413183843,0.0970724955875,0.840958168567,1.14541142643)	(0.99025244913,0.122981177979,0.873360178617,1.26219294883)	(1.1380018629,0.0733844590041,1.0721371374,1.29865501371)	(0.131232420842,0.253869248178,0.0144833698201,0.824944962324)	(0.126663211946,0.244997513538,0.0144833698201,0.820442149561)	(1.298420786e-05,0.000289933642396,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.38075729038e-05,0.000313882027748,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.5255595748e-05,0.000341162649541,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.01849433762e-05,0.000370548667084,0.0,0.0)	(2.22423944262e-05,0.000554783821364,0.0,0.0)	(1.38531305103e-05,0.000309940504246,0.0,0.0)	(1.77362936316e-05,0.000422262670302,0.0,0.0)
ileal Crohn's disease	(0.100783288344,0.193989415472,0.0144833698201,0.666181917116)	(0.112981273683,0.209938257472,0.0144833698201,0.697484799568)	(0.104348055596,0.208526323019,0.0144833698201,0.698582386268)	(0.131232420842,0.253869248178,0.0144833698201,0.824944962324)	(0.13143881736,0.25927141295,0.0188262104548,0.931057431914)	(0.12511534596,0.251608744396,0.0188262104548,0.928859026994)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(4.29071343048e-05,0.000664333622801,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(1.13178763197e-05,0.000250309748344,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.93570675654e-05,0.000445633440935,0.0,0.0)
Crohn's disease	(0.110251401815,0.208258770279,0.0144833698201,0.741206936357)	(0.103916378869,0.197075254051,0.0144833698201,0.697484799568)	(0.12291727376,0.230393023096,0.0144833698201,0.773608946407)	(0.126663211946,0.244997513538,0.0144833698201,0.820442149561)	(0.12511534596,0.251608744396,0.0188262104548,0.928859026994)	(1.91906110335,0.0415069612051,1.87743553787,2.0)	(1.66401535298e-05,0.000525944687954,0.0,0.0)	(3.09982264743e-05,0.000602711416727,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(7.31413004319e-06,0.000231177424915,0.0,0.0)	(1.49738219895e-05,0.000473277011515,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(0.0,0.0,0.0,0.0)
healthy	(2.50120546965e-05,0.000397159005459,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.33385345279e-05,0.000439270313155,0.0,0.0)	(1.298420786e-05,0.000289933642396,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.66401535298e-05,0.000525944687954,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.89808370202e-05,0.000599926580353,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.76907360251e-05,0.000401423313959,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.78950796083e-05,0.000565609087899,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.49738219895e-05,0.000473277011515,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)
preCp	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.77434822598e-05,0.000324366925051,0.0,0.0)	(1.41558480331e-05,0.000323030819082,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(3.09982264743e-05,0.000602711416727,0.0,0.0)	(1.89808370202e-05,0.000599926580353,0.0,0.0)	(0.972212662588,0.0459795855918,0.92654499969,1.08835174267)	(0.756973168613,0.167286515827,0.611081418136,1.04949293759)	(0.741996256273,0.1626128274,0.611081418136,1.01245586093)	(0.697808818668,0.100122232417,0.611081418136,0.924612948832)	(0.698549830256,0.0996248558654,0.611081418136,0.924450907947)	(0.68322872032,0.0758531479381,0.611081418136,0.821681760541)	(0.678103423807,0.0738051878645,0.611081418136,0.821665895408)	(0.409360856341,0.218231073474,0.195064629847,0.784628818748)	(0.370647671922,0.177956441435,0.195064629847,0.734611042924)	(0.360209328754,0.177169962353,0.195064629847,0.734609615576)	(0.320540325617,0.122884896097,0.195064629847,0.599877333971)	(0.321973137842,0.12264299351,0.195064629847,0.590055711167)	(0.314307076074,0.119547396159,0.195064629847,0.574401510924)
polyps	(1.13382699691e-05,0.000250318894676,0.0,0.0)	(1.32190884624e-05,0.000298708429082,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.756973168613,0.167286515827,0.611081418136,1.04949293759)	(1.57455211268,0.441934098732,1.11549295775,2.0)	(0.926500548319,0.287616700954,0.678623364032,1.60900567603)	(0.765788998005,0.101143517153,0.678623364032,0.993926523315)	(0.77014856278,0.103149865239,0.678623364032,0.993622243365)	(0.720385143465,0.072991277824,0.655196385124,0.857453756646)	(0.719271351408,0.0729067294664,0.655196385124,0.851244444147)	(0.391370155371,0.215889014373,0.195064629847,0.793718230721)	(0.364419983412,0.180215330412,0.195064629847,0.738391610018)	(0.359552181297,0.17398851312,0.195064629847,0.734609615576)	(0.318025291699,0.121910109242,0.195064629847,0.590055711167)	(0.31908387462,0.124277501384,0.195064629847,0.599877333971)	(0.317557400366,0.122256315094,0.195064629847,0.575320186014)
ulcerative colitis-PROC	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.38075729038e-05,0.000313882027748,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.741996256273,0.1626128274,0.611081418136,1.01245586093)	(0.926500548319,0.287616700954,0.678623364032,1.60900567603)	(1.36567567622,0.263249277738,1.08912205493,1.86779826273)	(0.892564303497,0.0710724382109,0.827878287477,1.03368581509)	(0.890931571456,0.064879614526,0.827878287477,1.00946700176)	(0.812780683674,0.0282413884289,0.790587766272,0.887856666757)	(0.810809187862,0.024393973688,0.790587766272,0.882022845096)	(0.493988720682,0.208506261656,0.330387830726,0.814872209127)	(0.446052398896,0.166170308574,0.314733630484,0.754045810261)	(0.457861147453,0.16825425674,0.314733630484,0.763035950039)	(0.394242930802,0.104904308786,0.314733630484,0.615531534213)	(0.396873110915,0.106489875323,0.314733630484,0.6282799109)	(0.399325554827,0.107368215235,0.314733630484,0.6282799109)
