 	ulcerative colitis	none	ileal Crohn's disease	Icolonic Crohn's disease	Crohn's disease	healthy	preCp	ulcerative colitis-PROC	FirstCp	polyps	ileal and colonic Crohn's disease with ulcerative colitis	ulcerative colitis-LS	Interim	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	SecondCp	ileal Crohn's disease with ulcerative colitis
ulcerative colitis	(2.48569593116,0.699668708218,1.85030997005,4.0)	(1.96531092882,0.389595669071,1.59931302346,2.79384330391)	(0.176167965947,0.350697304826,0.0257400136897,1.27045795748)	(0.189594106835,0.360275139626,0.0257400136897,1.24901555557)	(0.199665579329,0.367423929443,0.0253162848762,1.24702037301)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(2.73749364954e-05,0.000444459510839,0.0,0.0)	(2.0053617824e-05,0.000489719563198,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(1.17340577839e-07,3.70877909781e-06,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.69611640555e-05,0.000388705981284,0.0,0.0)
none	(1.96531092882,0.389595669071,1.59931302346,2.79384330391)	(3.23006313043,0.773022801252,2.45394202898,4.0)	(0.172487624945,0.340360010835,0.0257400136897,1.16386239773)	(0.18230976368,0.357363308833,0.0257400136897,1.24901555557)	(0.179081266094,0.350270935853,0.0253162848762,1.16816800222)	(0.0,0.0,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.85519053782e-05,0.000462100299909,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(3.17937677251e-05,0.000626899899413,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.55778096441e-05,0.000361461487226,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.96972511463e-05,0.00046936989989,0.0,0.0)
ileal Crohn's disease	(0.176167965947,0.350697304826,0.0257400136897,1.27045795748)	(0.172487624945,0.340360010835,0.0257400136897,1.16386239773)	(0.215364166764,0.434151815517,0.0257400136897,1.58961473145)	(0.165325032244,0.339747499416,0.0257400136897,1.17061149641)	(0.187933565466,0.373790826265,0.0253162848762,1.23984782604)	(3.38942124388e-05,0.00057502100332,0.0,0.0)	(2.35631640634e-05,0.000438327972935,0.0,0.0)	(0.0,0.0,0.0,0.0)	(3.98541511219e-05,0.00058056203991,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.03718057263e-05,0.000327821261773,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.44999236341e-05,0.000457934078685,0.0,0.0)
Icolonic Crohn's disease	(0.189594106835,0.360275139626,0.0257400136897,1.24901555557)	(0.18230976368,0.357363308833,0.0257400136897,1.24901555557)	(0.165325032244,0.339747499416,0.0257400136897,1.17061149641)	(1.0,0.0,1.0,1.0)	(2.71583596545,0.670907075691,2.18581042226,3.84390606286)	(2.62916983092e-05,0.000535076775812,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.68067226891e-05,0.000306386754373,0.0,0.0)	(3.00746899501e-05,0.000702807796829,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.83976002832e-05,0.0005814922394,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.39998411795e-05,0.000552366160273,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(3.22531525528e-05,0.000634301659252,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)
Crohn's disease	(0.199665579329,0.367423929443,0.0253162848762,1.24702037301)	(0.179081266094,0.350270935853,0.0253162848762,1.16816800222)	(0.187933565466,0.373790826265,0.0253162848762,1.23984782604)	(2.71583596545,0.670907075691,2.18581042226,3.84390606286)	(3.73167757537,0.136803369979,3.59310220653,4.0)	(3.89184787141e-05,0.000728618817794,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.58602023036e-05,0.000664154615565,0.0,0.0)	(3.45991538459e-05,0.000636585534689,0.0,0.0)	(1.37548266691e-05,0.000434748273647,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.84742019684e-05,0.000520335236672,0.0,0.0)	(0.0,0.0,0.0,0.0)	(9.02601919002e-06,0.000285285038858,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(5.7195814742e-06,0.00017710493573,0.0,0.0)	(0.0,0.0,0.0,0.0)
healthy	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(0.0,0.0,0.0,0.0)	(3.38942124388e-05,0.00057502100332,0.0,0.0)	(2.62916983092e-05,0.000535076775812,0.0,0.0)	(3.89184787141e-05,0.000728618817794,0.0,0.0)	(2.49593084618e-05,0.000501340698267,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(3.99331304513e-05,0.000710580354852,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.61783037822e-05,0.000535070320151,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.94481827784e-05,0.000435559736969,0.0,0.0)	(2.5163652045e-05,0.00064296244043,0.0,0.0)	(5.71563542333e-06,0.000177102492617,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
preCp	(2.73749364954e-05,0.000444459510839,0.0,0.0)	(2.33457231561e-05,0.000369281482749,0.0,0.0)	(2.35631640634e-05,0.000438327972935,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.77824567704,0.089465737095,1.67716099489,1.97810881407)	(1.76910562401,0.0802097619905,1.67716099489,1.94833848042)	(1.52558164769,0.0995525280448,1.42351984722,1.74693531564)	(1.19527243819,0.194985187335,0.97859395819,1.62864026625)	(1.19923562049,0.199022679327,0.97859395819,1.63734342703)	(1.18003242182,0.187292556919,0.97859395819,1.57277453594)	(1.14572247227,0.14972244212,0.97859395819,1.44921458598)	(0.700669618825,0.356833072947,0.354568775757,1.38882103511)	(0.638372316888,0.288211677035,0.354568775757,1.21351709828)	(0.646569323159,0.289057141296,0.354568775757,1.2309543659)	(0.556200048768,0.198817869058,0.354568775757,0.980753239825)	(0.568375173108,0.205065807884,0.354568775757,1.01138341939)	(0.566200530759,0.202665118696,0.354568775757,1.02794589499)	(0.563923859771,0.195378750079,0.354568775757,0.989091901152)
ulcerative colitis-PROC	(2.0053617824e-05,0.000489719563198,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.68067226891e-05,0.000306386754373,0.0,0.0)	(2.58602023036e-05,0.000664154615565,0.0,0.0)	(3.99331304513e-05,0.000710580354852,0.0,0.0)	(1.76910562401,0.0802097619905,1.67716099489,1.94833848042)	(2.57993112635,0.470103351134,2.07031807893,3.52520322144)	(1.66641895771,0.116422185896,1.55639428296,1.90149020511)	(1.29633599551,0.199807890673,1.07990687703,1.74604612366)	(1.32348270832,0.212335311332,1.07990687703,1.76904604794)	(1.27244996293,0.187147230043,1.07990687703,1.65589528659)	(1.21567052213,0.150831959107,1.04476640867,1.50426323129)	(0.711192850327,0.357699473984,0.354568775757,1.37971751303)	(0.648103248097,0.290040367043,0.354568775757,1.23654154008)	(0.647163667856,0.298529954938,0.354568775757,1.3011767244)	(0.570971658994,0.203313118668,0.354568775757,1.0058980535)	(0.56788901512,0.1950021221,0.354568775757,0.989091901152)	(0.556042251972,0.20117179364,0.354568775757,0.997936507603)	(0.551408982216,0.193658536539,0.354568775757,0.983269957043)
FirstCp	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(3.98541511219e-05,0.00058056203991,0.0,0.0)	(3.00746899501e-05,0.000702807796829,0.0,0.0)	(3.45991538459e-05,0.000636585534689,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.52558164769,0.0995525280448,1.42351984722,1.74693531564)	(1.66641895771,0.116422185896,1.55639428296,1.90149020511)	(1.74887626667,0.132949288285,1.62431699063,1.97831178982)	(1.37359767553,0.209993419923,1.14506435076,1.85901799896)	(1.36604143855,0.209048303577,1.14506435076,1.85582929388)	(1.30798190323,0.19921947815,1.08531114876,1.69625657876)	(1.21407270237,0.157011017002,1.04476640867,1.55243530215)	(0.700712484924,0.356104820539,0.354568775757,1.3908121609)	(0.653930288499,0.291254386579,0.354568775757,1.22142017361)	(0.63446339935,0.288148169604,0.354568775757,1.23308260057)	(0.575351702019,0.201166658264,0.354568775757,1.0292986269)	(0.549131718994,0.199828682629,0.354568775757,1.02620966737)	(0.567790297254,0.204021082549,0.354568775757,0.998418246006)	(0.563815634658,0.19560814624,0.354568775757,0.989091901152)
polyps	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(2.85519053782e-05,0.000462100299909,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.37548266691e-05,0.000434748273647,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.19527243819,0.194985187335,0.97859395819,1.62864026625)	(1.29633599551,0.199807890673,1.07990687703,1.74604612366)	(1.37359767553,0.209993419923,1.14506435076,1.85901799896)	(2.94687323944,1.12961659305,1.7352112676,4.0)	(2.34631581072,0.740635822586,1.7352112676,4.0)	(1.47064424051,0.365615381488,1.08531114876,2.30887990486)	(1.23982250117,0.17811324143,1.04476640867,1.64325567616)	(0.704086573671,0.357047854804,0.354568775757,1.41597680434)	(0.640178293013,0.288367984758,0.354568775757,1.22431287108)	(0.65003932075,0.297287726026,0.354568775757,1.3031273733)	(0.552799615525,0.199712286851,0.354568775757,0.988296605958)	(0.562388944245,0.203838350568,0.354568775757,0.99112962568)	(0.564264340134,0.206375064504,0.354568775757,1.05666046706)	(0.560968609884,0.199854579068,0.354568775757,0.990933279555)
