#mapping_fp	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	DIET	AGE	HEALTHY
Bushman_entereotypes_cafe/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Bushman_entereotypes_combo/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Carrol_storage_study/mapping_file_L3.txt	No	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	No	No	Yes
Claesson_elderly_gut/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Costello_whole_body_sites/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Defilippo_childres_and_diets/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	CLINICAL_CONDITION	AGE	Yes
HMP_v35/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Jansson_twins_ibd/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	DISEASE_STAT2
Koren_oral_gut_plaque/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Martinez_resistant_starches/mapping_file_L3.txt	No	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Momozawa_colon_biopsies_and_stool/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	DISEASE_STATUS
Muegge_mammals_paper_human_samples_16S/mapping_file_L3.txt	BODY_SITE	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Relman_antibiotic_timeseries/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE_IN_YEARS	ANTIBIOTIC
Yatsunenko_global_gut_illumina/mapping_file_L3.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
